tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0053847,movie,Füre lépni szabad,Füre lépni szabad,0,1960,107,Comedy
tt0053848,movie,G.I. Blues,G.I. Blues,0,1960,104,"Comedy,Musical"
tt0053849,movie,The Gallant Hours,The Gallant Hours,0,1960,115,"Biography,Drama,War"
tt0053850,movie,Gangster Story,Gangster Story,0,1959,65,"Crime,Drama,Thriller"
tt0053851,movie,La garçonnière,La garçonnière,0,1960,90,Drama
tt0053853,movie,The Human Vapor,Gasu ningen dai 1 gô,0,1960,92,"Crime,Sci-Fi,Thriller"
tt0053854,movie,Gaudí,Gaudí,0,1960,110,\N
tt0053855,movie,Crook and the Cross,Der Gauner und der liebe Gott,0,1960,97,Comedy
tt0053856,movie,Il Generale Della Rovere,Il generale Della Rovere,0,1959,132,"Drama,War"
tt0053857,movie,The Gentle Trap,The Gentle Trap,0,1960,59,"Crime,Drama"
tt0053860,movie,Geständnis einer Sechzehnjährigen,Geständnis einer Sechzehnjährigen,0,1961,80,Drama
tt0053861,movie,The Giants of Thessaly,I giganti della Tessaglia,0,1960,98,"Adventure,Fantasy"
tt0053862,movie,Gino,Gino,0,1960,84,Drama
tt0053864,movie,From a Roman Balcony,La giornata balorda,0,1960,102,Drama
tt0053865,movie,Girl of the Night,Girl of the Night,0,1960,93,Drama
tt0053867,movie,A Glass of Water,Das Glas Wasser,0,1960,81,"Comedy,History,Musical"
tt0053868,movie,Glocken läuten überall,Glocken läuten überall,0,1960,80,Comedy
tt0053870,movie,The Hunchback of Rome,Il gobbo,0,1960,96,"Drama,War"
tt0053871,movie,Good Friends and Faithful Neighbors,"Goda vänner, trogna grannar",0,1960,91,Drama
tt0053872,movie,Wise Guys,Les godelureaux,0,1961,99,Drama
tt0053873,movie,Lita molodiyi,Lita molodiyi,0,1959,81,"Musical,Romance"
tt0053876,movie,Good-for-Nothing,Rokudenashi,0,1960,88,"Action,Crime"
tt0053877,movie,The Grass Is Greener,The Grass Is Greener,0,1960,104,"Comedy,Drama,Romance"
tt0053878,movie,The Great Devotion,Ke lian tian xia fu mu xin,0,1960,98,Drama
tt0053879,movie,The Great Impostor,The Great Impostor,0,1960,113,"Comedy,Drama"
tt0053880,movie,Das große Wunschkonzert,Das große Wunschkonzert,0,1960,100,"Drama,Family"
tt0053881,movie,A Bully in 1900,Un guapo del '900,0,1960,84,Drama
tt0053882,movie,The 3 Worlds of Gulliver,The 3 Worlds of Gulliver,0,1960,99,"Adventure,Family,Fantasy"
tt0053883,movie,Gunfighters of Abilene,Gunfighters of Abilene,0,1959,66,"Romance,Western"
tt0053884,movie,Guns of the Timberland,Guns of the Timberland,0,1960,91,"Drama,Western"
