tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,ordering,region,language,types,attributes,isOriginalTitle,decennie,split_genres,averageRating,numVotes
tt0120844,movie,Star Trek: Insurrection,Star Trek: Insurrection,0,1998,103,"Action,Adventure,Sci-Fi",2,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Sci-Fi,6.4,76889.0
tt0120855,movie,Tarzan,Tarzan,0,1999,88,"Adventure,Animation,Comedy",20,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Adventure,7.3,233060.0
tt0120855,movie,Tarzan,Tarzan,0,1999,88,"Adventure,Animation,Comedy",20,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Animation,7.3,233060.0
tt0120855,movie,Tarzan,Tarzan,0,1999,88,"Adventure,Animation,Comedy",20,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,7.3,233060.0
tt0120863,movie,The Thin Red Line,The Thin Red Line,0,1998,170,"Drama,History,War",32,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,7.6,191790.0
tt0120863,movie,The Thin Red Line,The Thin Red Line,0,1998,170,"Drama,History,War",32,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,History,7.6,191790.0
tt0120863,movie,The Thin Red Line,The Thin Red Line,0,1998,170,"Drama,History,War",32,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,War,7.6,191790.0
tt0120873,movie,U.S. Marshals,U.S. Marshals,0,1998,131,"Action,Crime,Thriller",5,FR,\N,\N,\N,0,de 1990 à 2000,Action,6.5,108794.0
tt0120873,movie,U.S. Marshals,U.S. Marshals,0,1998,131,"Action,Crime,Thriller",5,FR,\N,\N,\N,0,de 1990 à 2000,Crime,6.5,108794.0
tt0120873,movie,U.S. Marshals,U.S. Marshals,0,1998,131,"Action,Crime,Thriller",5,FR,\N,\N,\N,0,de 1990 à 2000,Thriller,6.5,108794.0
tt0120877,movie,Vampires,Vampires,0,1998,108,"Action,Horror,Thriller",42,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Action,6.1,61035.0
tt0120877,movie,Vampires,Vampires,0,1998,108,"Action,Horror,Thriller",42,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Horror,6.1,61035.0
tt0120877,movie,Vampires,Vampires,0,1998,108,"Action,Horror,Thriller",42,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Thriller,6.1,61035.0
tt0120885,movie,Wag the Dog,Wag the Dog,0,1997,97,"Comedy,Drama",12,FR,\N,\N,\N,0,de 1990 à 2000,Comedy,7.1,85875.0
tt0120885,movie,Wag the Dog,Wag the Dog,0,1997,97,"Comedy,Drama",12,FR,\N,\N,\N,0,de 1990 à 2000,Drama,7.1,85875.0
tt0120888,movie,The Wedding Singer,The Wedding Singer,0,1998,97,"Comedy,Music,Romance",26,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,6.9,154834.0
tt0120888,movie,The Wedding Singer,The Wedding Singer,0,1998,97,"Comedy,Music,Romance",26,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Music,6.9,154834.0
tt0120888,movie,The Wedding Singer,The Wedding Singer,0,1998,97,"Comedy,Music,Romance",26,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Romance,6.9,154834.0
tt0120889,movie,What Dreams May Come,What Dreams May Come,0,1998,113,"Drama,Fantasy,Romance",15,FR,\N,\N,\N,0,de 1990 à 2000,Drama,6.9,110961.0
tt0120889,movie,What Dreams May Come,What Dreams May Come,0,1998,113,"Drama,Fantasy,Romance",15,FR,\N,\N,\N,0,de 1990 à 2000,Fantasy,6.9,110961.0
tt0120889,movie,What Dreams May Come,What Dreams May Come,0,1998,113,"Drama,Fantasy,Romance",15,FR,\N,\N,\N,0,de 1990 à 2000,Romance,6.9,110961.0
tt0120890,movie,Wild Things,Wild Things,0,1998,108,"Crime,Drama,Mystery",17,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Crime,6.6,124178.0
tt0120890,movie,Wild Things,Wild Things,0,1998,108,"Crime,Drama,Mystery",17,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,6.6,124178.0
tt0120890,movie,Wild Things,Wild Things,0,1998,108,"Crime,Drama,Mystery",17,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Mystery,6.6,124178.0
tt0120891,movie,Wild Wild West,Wild Wild West,0,1999,106,"Action,Comedy,Sci-Fi",36,FR,\N,\N,\N,0,de 1990 à 2000,Action,4.9,163346.0
tt0120891,movie,Wild Wild West,Wild Wild West,0,1999,106,"Action,Comedy,Sci-Fi",36,FR,\N,\N,\N,0,de 1990 à 2000,Comedy,4.9,163346.0
tt0120891,movie,Wild Wild West,Wild Wild West,0,1999,106,"Action,Comedy,Sci-Fi",36,FR,\N,\N,\N,0,de 1990 à 2000,Sci-Fi,4.9,163346.0
